lemma,family,rationale
توهینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تویېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تړپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تږی کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تښتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تکرارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تکمیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تڼاکي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تیارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تېره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تېرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
تېزېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ثابتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ثبتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جاج اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جانجېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جایزه اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جبرانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جختېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جدا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جذباتي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جذبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جلا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جمعه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جنګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جوتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جوختېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جوړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
جګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حاصلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حاضرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حذفېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حسابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حصارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حصه اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حل کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حمل کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
حیرانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خارجېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خارښتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خاموشه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خبرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ختمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خرابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خرټېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خرپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خرڅېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خرړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خریل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خرېیل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خزانه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خسي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خطا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خطبه ویل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خفه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خلاصه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خلاصېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خندېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خواټولی کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوشالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوشتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوشحاله کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوشحالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوټ کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوټکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوټېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوځېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوړینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوږمنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوږېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خوښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خټکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خپرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خپلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خړوبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
خیشتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
داخلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دایرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دربلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دربېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دردېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
درزېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
درستېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
درغېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
درنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دروغ ویل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دریافت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
درېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دفن کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دننه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دوزانو کښېنستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دوړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
دوکه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ذبح کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رائجېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راجع کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راستنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راستونېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راوستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راویښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راټولېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راپورته کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
راکوزېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ربلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رجسټر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رحمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رخصت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رد کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ردېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رسمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رسوا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رسېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رشوت اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رغړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رغېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رفع کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رنځېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رنګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رهي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
روانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
روغېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
روږدی کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
روږدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
روښانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
روښنایي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رویکارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رټېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رډېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رژېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رڼا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ریل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ریټایر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ریچې ریچې کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ریکارډ کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رېزه رېزه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
رېږدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زخمي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زرغونېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زره زره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زلقېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زلکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زمولېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زنګ اخستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زنګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زهیرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زوړندېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زړه نا زړه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زیات کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زیاتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زیږېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
زېږېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سا اخستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سا اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سازېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سانسورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ساه اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سبق وایل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سبق ویل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستایل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستومانه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستومانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستړی کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
ستړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سخا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سختېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سرتورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سریښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سستېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سقوطېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سمبالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سنت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سنتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سندرې ویل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سنګارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سنګسارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سور کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سوری کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
سوق کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل)
