translation,book,chapter,verse,file_id,file_name
yousafzai,Zechariah,4,1,1pP5YMDF0_N_3S8Ud8bWFvU9h8F_lXciY,"yousafzai_zechariah004_verse_001.mp3"
yousafzai,Zechariah,14,13,1bZEAhsdG-E0dSDITq_H23P_SeHtiJIu3,"yousafzai_zechariah014_verse_013.mp3"
yousafzai,Zechariah,4,2,1fi3Q2mXl0fGLvtAeftS7XUTrbNQ85p95,"yousafzai_zechariah004_verse_002.mp3"
yousafzai,Zechariah,4,9,1i8p6O6t6L_zmDuue3Euh5bu8IeJgGmCc,"yousafzai_zechariah004_verse_009.mp3"
yousafzai,Zechariah,4,8,1F0leTgKbEG8fnUblCL8GO9OfxutZ5yjI,"yousafzai_zechariah004_verse_008.mp3"
yousafzai,Zechariah,14,6,1ol0Vstjo07gq8IOME0aywHgWm6K-oBpj,"yousafzai_zechariah014_verse_006.mp3"
yousafzai,Zechariah,8,8,1-lMR8N7omBqnIhgMjFd8X8GIgAFiM9AB,"yousafzai_zechariah008_verse_008.mp3"
yousafzai,Zechariah,14,12,1PTaJAIIUZiknjcfx121F5afIoKazWZnv,"yousafzai_zechariah014_verse_012.mp3"
yousafzai,Zechariah,14,20,1UGMJcJ43QX7pqIxJ2rg_NQv6Poc43mh1,"yousafzai_zechariah014_verse_020.mp3"
yousafzai,Zechariah,8,20,1HJkWx1AMpB929O03voppjFLswVQXrJQS,"yousafzai_zechariah008_verse_020.mp3"
yousafzai,Zechariah,8,21,1j2zFHsk5U4ARcQSIGkF1YWe83V8xisL6,"yousafzai_zechariah008_verse_021.mp3"
yousafzai,Zechariah,14,8,1LomAB23vc6vLQi1QUrwGUV8X8AUsKXuO,"yousafzai_zechariah014_verse_008.mp3"
yousafzai,Zechariah,14,9,10K5BAO6DUvpk-DfrnVtpIDmjdlqKL78W,"yousafzai_zechariah014_verse_009.mp3"
yousafzai,Zechariah,8,9,1o91fDRiGISz-v0CB_4SyATjNvQOyEBom,"yousafzai_zechariah008_verse_009.mp3"
yousafzai,Zechariah,14,19,1OOYhy-uEgMCjTfjyquLi-lCjl2ydrzOC,"yousafzai_zechariah014_verse_019.mp3"
yousafzai,Zechariah,14,21,1EfNMVzqIvkFEw9lDrAnzJU04FXKQLsJ2,"yousafzai_zechariah014_verse_021.mp3"
yousafzai,Zechariah,8,23,1Sir618jCP6VyGsQpZ-aBzPr5KGNL01zc,"yousafzai_zechariah008_verse_023.mp3"
yousafzai,Zechariah,8,22,1BIEYB7-ixofvUVOZ5OoxJu7SFBAc2Eaw,"yousafzai_zechariah008_verse_022.mp3"
yousafzai,Zechariah,8,19,1VheQsM78Lx6kk8WNLzcDYxj7qGZAeIhi,"yousafzai_zechariah008_verse_019.mp3"
yousafzai,Zechariah,14,18,16dhxSlN6beZF3fy32e6dsGC86ETPLoJg,"yousafzai_zechariah014_verse_018.mp3"
yousafzai,Zechariah,6,8,1F7E1NnDJfQp88NDwlU3YgMraDW9S76LQ,"yousafzai_zechariah006_verse_008.mp3"
yousafzai,Zechariah,8,18,13yh91OnHI09YLvh50vURu3YjhwqkZwCj,"yousafzai_zechariah008_verse_018.mp3"
yousafzai,Zechariah,8,15,1X8JqOSNdwbkz13lKujmxpNeeFsxqxrde,"yousafzai_zechariah008_verse_015.mp3"
yousafzai,Zechariah,6,9,1UbHNU2IZDm-4Oqh9IMS54ZcdyF2xwxGT,"yousafzai_zechariah006_verse_009.mp3"
yousafzai,Zechariah,8,1,1v0NnGUdfYZ2Ape1q2fI7L9nQsq7iWxrB,"yousafzai_zechariah008_verse_001.mp3"
yousafzai,Zechariah,8,14,1rrvqNJmQgRP3z8gxtzipHRJqRMraV1-8,"yousafzai_zechariah008_verse_014.mp3"
yousafzai,Zechariah,6,4,1GODGoU85PGVrVSv4-wX0Zd7Xx3E1GLsa,"yousafzai_zechariah006_verse_004.mp3"
yousafzai,Zechariah,6,10,1Wtl0zIow_U-HCIlHLXtJbiHkmyNuLXj9,"yousafzai_zechariah006_verse_010.mp3"
yousafzai,Zechariah,6,11,1Kv5X7OQpajUojN1F-x1XFuIs935WLKJW,"yousafzai_zechariah006_verse_011.mp3"
yousafzai,Zechariah,6,5,1IWT8mSO6ZzJdaM-tP2ibssBFbQm_Ld_8,"yousafzai_zechariah006_verse_005.mp3"
yousafzai,Zechariah,8,17,1nSQkyukNvcXezp8TIPm9aNIO4vKOs6YX,"yousafzai_zechariah008_verse_017.mp3"
yousafzai,Zechariah,8,2,1atbTp0HVF_5V3c7fYAFl90fGSSyWeXzG,"yousafzai_zechariah008_verse_002.mp3"
yousafzai,Zechariah,8,16,192dDRr_bSoSfrx6A4f-A0yF_dD1jKXaW,"yousafzai_zechariah008_verse_016.mp3"
yousafzai,Zechariah,6,13,1WwlkQKdpK_b_vbhj7iKIEYdscM5YY3h_,"yousafzai_zechariah006_verse_013.mp3"
yousafzai,Zechariah,6,7,1yNO-3iWr2f8e0SCqek9_9tdvQpQ3euS_,"yousafzai_zechariah006_verse_007.mp3"
yousafzai,Zechariah,8,3,1DUxxXGLVDD9y_-4sZr9DCvGUl6GEVoAZ,"yousafzai_zechariah008_verse_003.mp3"
yousafzai,Zechariah,6,12,10o2jnYeohIuoQA-DHQ_iytxXhGGbjs65,"yousafzai_zechariah006_verse_012.mp3"
yousafzai,Zechariah,6,6,1cdWJl-54PtOttkphqlfxDz94uz7VsQXi,"yousafzai_zechariah006_verse_006.mp3"
yousafzai,Zechariah,8,7,1rJVa5grBxRIyVpOb0AWHyeXkE84jRoTR,"yousafzai_zechariah008_verse_007.mp3"
yousafzai,Zechariah,6,2,1E0Axhb7b3b9_3vNxLIGYOeMZ7IrPbKuh,"yousafzai_zechariah006_verse_002.mp3"
yousafzai,Zechariah,8,13,1hNbjrl0QUUD7L9KPeWcS6aHSm0uD-F6E,"yousafzai_zechariah008_verse_013.mp3"
yousafzai,Zechariah,8,12,1_KKW4oTuyZgNYlhJZ7AcKteFzKdlUGC3,"yousafzai_zechariah008_verse_012.mp3"
yousafzai,Zechariah,6,3,1HJP7359bf1xSQhBxV0dUrBQ9uRCbJPUC,"yousafzai_zechariah006_verse_003.mp3"
yousafzai,Zechariah,6,1,1Hz9oH7Gd6lBi1G_sM8go30N_Bq6oYlTk,"yousafzai_zechariah006_verse_001.mp3"
yousafzai,Zechariah,6,14,16OKBFQixrzXZ51nUVR3OBK1XAcQUJnU2,"yousafzai_zechariah006_verse_014.mp3"
yousafzai,Zechariah,8,6,1WftwUEDgbbl_RThlDT0h0md_tZ41fXVy,"yousafzai_zechariah008_verse_006.mp3"
yousafzai,Zechariah,6,15,1fLbDXb1mbN7aaXSxKufmCfxZDOrKGOFk,"yousafzai_zechariah006_verse_015.mp3"
yousafzai,Zechariah,8,4,1te36aiUl9NsZ6C3-kkuifJFExm_wYoC9,"yousafzai_zechariah008_verse_004.mp3"
yousafzai,Zechariah,8,5,1UmHJ-Gz4oKXONCIKm8B1gM6eG62J-Ijw,"yousafzai_zechariah008_verse_005.mp3"
yousafzai,Zechariah,8,10,1zTl-xvT1sSYSs9Z1KpU0hjdDX22WXn_k,"yousafzai_zechariah008_verse_010.mp3"
yousafzai,Zechariah,4,6,1jmyR_1a_KlN9Jo1dRGlIDaaZaSg8tse_,"yousafzai_zechariah004_verse_006.mp3"
yousafzai,Zechariah,8,11,1rMMC6wG30YfWbICCDU61vf4tEw67jD0l,"yousafzai_zechariah008_verse_011.mp3"
yousafzai,Zechariah,4,13,1LbU5TKUGaknKnUvhE4mnB7udkbxcF5Y7,"yousafzai_zechariah004_verse_013.mp3"
yousafzai,Zechariah,4,12,17TQ1SeG2LNFv-9p9_Thwqf02jKPp9yh7,"yousafzai_zechariah004_verse_012.mp3"
yousafzai,Zechariah,12,9,1lqEXuUm67cF5SRRhCXetPyRxrh7fL2MK,"yousafzai_zechariah012_verse_009.mp3"
yousafzai,Zechariah,12,8,1pquykdx7dwsCB2d2BM4-cTSd6EulmTzk,"yousafzai_zechariah012_verse_008.mp3"
yousafzai,Zechariah,4,7,1Wz9eadcHG9m7cgi5MYVQ8f8U9AltsDjg,"yousafzai_zechariah004_verse_007.mp3"
yousafzai,Zechariah,12,1,1omf-ijlKyl_zX-UuohjyR-rFP1Jj6rq2,"yousafzai_zechariah012_verse_001.mp3"
yousafzai,Zechariah,4,11,1t74ZvPt4QDpfWi7K8Zt_n5DVC2TDh-r2,"yousafzai_zechariah004_verse_011.mp3"
yousafzai,Zechariah,12,14,1_1aj-Wp19yCYnNXcrYWnLvXjQT_pPvB7,"yousafzai_zechariah012_verse_014.mp3"
yousafzai,Zechariah,12,2,1i8nYb-6YXwQiFzTUq2BkJBUZK83wTOxs,"yousafzai_zechariah012_verse_002.mp3"
yousafzai,Zechariah,4,5,1OQaSn7nlTPGtiKNLIAryTmcXpBRNh5eV,"yousafzai_zechariah004_verse_005.mp3"
